"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.902336208E0,-4.823868713E0,-4.125271454E0,-1.531614990E0
6.922226208E0,-4.444258118E0,-2.494263153E0,-1.636397095E0
6.942116208E0,-4.946613464E0,-3.268752594E0,-9.948312378E-1
6.962005208E0,-5.277575226E0,-5.456303558E0,-9.279203796E-1
6.981895208E0,-4.953798523E0,-7.765850830E0,-2.225272522E0
7.001785208E0,-3.916755066E0,-9.457183685E0,-6.180497589E0
7.021674208E0,-2.258952484E0,-1.127081223E1,-1.384470978E1
7.041564208E0,-4.271966400E0,-1.318353470E1,7.137158203E-1
7.061454208E0,-7.209457855E0,-1.449016754E1,7.199578400E0
7.081343208E0,-1.031115784E1,-1.279793655E1,-2.677332458E0
7.101233208E0,-1.373858047E1,-8.600664825E0,-9.230255585E0
7.121123208E0,-1.711615677E1,-8.810977478E0,-4.918471985E0
7.141012208E0,-1.269090912E1,-1.099254089E1,-4.844525757E0
7.160902208E0,-1.175101364E1,-1.604333771E1,1.078282700E1
7.180792208E0,-6.540798340E0,-1.350970642E1,1.059481796E1
7.200682208E0,-3.999233551E0,-1.397314270E1,3.189417572E0
7.220571208E0,-4.661755829E0,-1.766626282E1,-3.796405334E0
7.240461208E0,-4.560117188E0,-2.064731369E1,-1.837878113E0
7.260351208E0,-3.578757935E0,-1.881856659E1,4.529281311E0
7.280240208E0,-2.085612946E0,-1.565444641E1,4.106859741E0
7.300130208E0,2.111359406E0,-1.233509903E1,2.917882233E0
7.320020208E0,2.721939697E0,-7.945477295E0,1.947599945E0
7.339909208E0,1.645228729E0,-4.716841278E0,1.551972656E0
7.359799208E0,2.427052917E0,-2.314786377E0,4.668491821E0
7.379689208E0,2.190395050E0,-7.096742249E-1,9.449250183E0
7.399578208E0,1.763333130E0,1.833686829E-1,5.440586243E0
7.419468208E0,1.660646667E0,8.931925964E-1,-4.098477173E-1
7.439358208E0,4.093387756E0,1.003064117E0,1.080602875E0
7.459248208E0,5.797893219E0,-1.089733887E-1,1.714384918E0
7.479137208E0,6.716832275E0,-2.308948517E0,-9.469308472E-1
7.499027208E0,5.853876801E0,-8.097710724E0,-8.215665436E0
7.518917208E0,-1.386970779E1,-3.353311752E1,-4.017061478E1
7.538806208E0,-1.994063324E1,-2.962294876E1,-5.454956360E0
7.558696208E0,-1.420530991E1,-1.052446426E1,-6.275549927E0
7.578586208E0,-6.979685669E0,-1.151106262E-1,-7.021448822E0
7.598475208E0,-2.900967407E0,-1.080992065E1,7.820038147E0
7.618365208E0,-1.324296112E0,-1.645707733E1,1.142663818E1
7.638255208E0,4.861889648E0,-1.405562119E1,5.938899994E0
7.658145208E0,5.276976471E0,-1.040546173E1,2.591710510E0
7.678034208E0,4.627327423E0,-6.219117279E0,-5.177732849E-1
7.697924208E0,3.907324677E0,-6.373296661E0,-9.868977356E-1
7.717814208E0,3.551664276E0,-7.898924103E0,2.359094238E-1
7.737703208E0,3.723207550E0,-9.167386322E0,1.094523926E0
7.757593208E0,1.784888306E0,-1.106214615E1,2.458936615E0
7.777483458E0,-1.085392914E0,-1.197704361E1,4.894222412E0
7.797372458E0,-2.928061066E0,-1.068897217E1,6.340065765E0
7.817262458E0,-2.980901184E0,-8.277636566E0,5.448070679E0
7.837152458E0,-3.537294159E0,-6.719676361E0,3.894601135E0
7.857042458E0,-4.827610931E0,-6.351591797E0,1.096619568E0
7.876931458E0,-6.320306854E0,-6.705306244E0,-4.104464722E-1
7.896821458E0,-7.312144318E0,-7.395820313E0,-7.153623962E-1
7.916711458E0,-6.942263489E0,-7.695497131E0,-1.533710632E0
7.936600458E0,-4.882247314E0,-6.618337097E0,-2.269580383E0
7.956490458E0,-5.620212708E0,-8.558602295E0,-7.372019806E0
